"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Age_Group","Ethnicity","Ethnicity_type","Sex","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Arab","ONS 2011 18+1","All","0.411228265","% of Total Age Group Population","100","% of Total Ethnic Group Population","230600","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Arab","ONS 2011 18+1","Female","0.338415501","% of Total Age Group Population","100","% of Total Ethnic Group Population","96457","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Arab","ONS 2011 18+1","Male","0.486494653","% of Total Age Group Population","100","% of Total Ethnic Group Population","134143","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Ethnic Background","ONS 2011 18+1","All","0.594009064","% of Total Age Group Population","100","% of Total Ethnic Group Population","333096","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Ethnic Background","ONS 2011 18+1","Female","0.542656976","% of Total Age Group Population","100","% of Total Ethnic Group Population","154671","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Ethnic Background","ONS 2011 18+1","Male","0.6470916","% of Total Age Group Population","100","% of Total Ethnic Group Population","178425","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","All","All","All","100","% of Total Age Group Population","64.68678922","% of Total Ethnic Group Population","36273707","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","All","All","Female","100","% of Total Age Group Population","63.90257344","% of Total Ethnic Group Population","18213854","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","All","All","Male","100","% of Total Age Group Population","65.49743129","% of Total Ethnic Group Population","18059853","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Asian","ONS 2011 5+1","All","8.09658908","% of Total Age Group Population","69.70241823","% of Total Ethnic Group Population","2936933","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Asian","ONS 2011 5+1","Female","8.032890787","% of Total Age Group Population","69.89190656","% of Total Ethnic Group Population","1463099","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Asian","ONS 2011 5+1","Male","8.160830545","% of Total Age Group Population","69.51532363","% of Total Ethnic Group Population","1473834","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Bangladeshi","ONS 2011 18+1","All","0.758444677","% of Total Age Group Population","61.51954043","% of Total Ethnic Group Population","275116","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Bangladeshi","ONS 2011 18+1","Female","0.72455835","% of Total Age Group Population","61.00402163","% of Total Ethnic Group Population","131970","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Bangladeshi","ONS 2011 18+1","Male","0.792619962","% of Total Age Group Population","62.00259019","% of Total Ethnic Group Population","143146","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Chinese","ONS 2011 18+1","All","0.889875964","% of Total Age Group Population","82.10565675","% of Total Ethnic Group Population","322791","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Chinese","ONS 2011 18+1","Female","0.941261525","% of Total Age Group Population","82.7760691","% of Total Ethnic Group Population","171440","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Chinese","ONS 2011 18+1","Male","0.838052226","% of Total Age Group Population","81.35925775","% of Total Ethnic Group Population","151351","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Indian","ONS 2011 18+1","All","2.829685976","% of Total Age Group Population","72.64419749","% of Total Ethnic Group Population","1026432","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Indian","ONS 2011 18+1","Female","2.749890276","% of Total Age Group Population","72.2703517","% of Total Ethnic Group Population","500861","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Indian","ONS 2011 18+1","Male","2.910162115","% of Total Age Group Population","73.00408379","% of Total Ethnic Group Population","525571","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Pakistani","ONS 2011 18+1","All","1.942699157","% of Total Age Group Population","62.66626116","% of Total Ethnic Group Population","704689","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Pakistani","ONS 2011 18+1","Female","1.882133238","% of Total Age Group Population","62.52261552","% of Total Ethnic Group Population","342809","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Pakistani","ONS 2011 18+1","Male","2.003781537","% of Total Age Group Population","62.80294682","% of Total Ethnic Group Population","361880","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Asian Background","ONS 2011 18+1","All","1.675883306","% of Total Age Group Population","72.74027186","% of Total Ethnic Group Population","607905","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Asian Background","ONS 2011 18+1","Female","1.735047399","% of Total Age Group Population","73.73336724","% of Total Ethnic Group Population","316019","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Asian Background","ONS 2011 18+1","Male","1.616214706","% of Total Age Group Population","71.69479494","% of Total Ethnic Group Population","291886","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black","ONS 2011 5+1","All","3.419962013","% of Total Age Group Population","66.52118892","% of Total Ethnic Group Population","1240547","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black","ONS 2011 5+1","Female","3.580488786","% of Total Age Group Population","67.46164748","% of Total Ethnic Group Population","652145","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black","ONS 2011 5+1","Male","3.258066386","% of Total Age Group Population","65.50901804","% of Total Ethnic Group Population","588402","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black African","ONS 2011 18+1","All","1.839949802","% of Total Age Group Population","67.44130118","% of Total Ethnic Group Population","667418","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black African","ONS 2011 18+1","Female","1.913219465","% of Total Age Group Population","68.3505646","% of Total Ethnic Group Population","348471","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black African","ONS 2011 18+1","Male","1.766055349","% of Total Age Group Population","66.47512813","% of Total Ethnic Group Population","318947","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black Caribbean","ONS 2011 18+1","All","1.125658318","% of Total Age Group Population","68.64506367","% of Total Ethnic Group Population","408318","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black Caribbean","ONS 2011 18+1","Female","1.219895581","% of Total Age Group Population","69.89568653","% of Total Ethnic Group Population","222190","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Black Caribbean","ONS 2011 18+1","Male","1.03061747","% of Total Age Group Population","67.20950974","% of Total Ethnic Group Population","186128","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Black Background","ONS 2011 18+1","All","0.454353893","% of Total Age Group Population","58.76934927","% of Total Ethnic Group Population","164811","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Black Background","ONS 2011 18+1","Female","0.447373741","% of Total Age Group Population","58.63297187","% of Total Ethnic Group Population","81484","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Black Background","ONS 2011 18+1","Male","0.461393567","% of Total Age Group Population","58.90332523","% of Total Ethnic Group Population","83327","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed","ONS 2011 5+1","All","1.759651971","% of Total Age Group Population","52.13092127","% of Total Ethnic Group Population","638291","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed","ONS 2011 5+1","Female","1.776845252","% of Total Age Group Population","52.80623692","% of Total Ethnic Group Population","323632","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed","ONS 2011 5+1","Male","1.742312078","% of Total Age Group Population","51.45413248","% of Total Ethnic Group Population","314659","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Asian","ONS 2011 18+1","All","0.471214591","% of Total Age Group Population","50.01858208","% of Total Ethnic Group Population","170927","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Asian","ONS 2011 18+1","Female","0.452446802","% of Total Age Group Population","49.63111521","% of Total Ethnic Group Population","82408","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Asian","ONS 2011 18+1","Male","0.490142417","% of Total Age Group Population","50.38477739","% of Total Ethnic Group Population","88519","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black African","ONS 2011 18+1","All","0.224305721","% of Total Age Group Population","49.022136","% of Total Ethnic Group Population","81364","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black African","ONS 2011 18+1","Female","0.225602994","% of Total Age Group Population","49.51975801","% of Total Ethnic Group Population","41091","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black African","ONS 2011 18+1","Male","0.222997385","% of Total Age Group Population","48.52460992","% of Total Ethnic Group Population","40273","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black Caribbean","ONS 2011 18+1","All","0.621565918","% of Total Age Group Population","52.83737389","% of Total Ethnic Group Population","225465","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black Caribbean","ONS 2011 18+1","Female","0.633731883","% of Total Age Group Population","53.65952303","% of Total Ethnic Group Population","115427","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black Caribbean","ONS 2011 18+1","Male","0.609296211","% of Total Age Group Population","52.00160677","% of Total Ethnic Group Population","110038","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","All","0.442565741","% of Total Age Group Population","55.35995089","% of Total Ethnic Group Population","160535","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Female","0.465063572","% of Total Age Group Population","56.95018724","% of Total Ethnic Group Population","84706","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Male","0.419876064","% of Total Age Group Population","53.68538801","% of Total Ethnic Group Population","75829","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White","ONS 2011 5+1","All","85.61160567","% of Total Age Group Population","64.41587371","% of Total Ethnic Group Population","31054503","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White","ONS 2011 5+1","Female","85.6588342","% of Total Age Group Population","63.47738715","% of Total Ethnic Group Population","15601775","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White","ONS 2011 5+1","Male","85.56397441","% of Total Age Group Population","65.39199197","% of Total Ethnic Group Population","15452728","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White British","ONS 2011 18+1","All","79.2084884","% of Total Age Group Population","63.65803675","% of Total Ethnic Group Population","28731855","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White British","ONS 2011 18+1","Female","78.99792103","% of Total Age Group Population","62.64920018","% of Total Ethnic Group Population","14388566","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White British","ONS 2011 18+1","Male","79.42085132","% of Total Age Group Population","64.70323835","% of Total Ethnic Group Population","14343289","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White Irish","ONS 2011 18+1","All","0.930638272","% of Total Age Group Population","63.56340863","% of Total Ethnic Group Population","337577","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White Irish","ONS 2011 18+1","Female","0.925043102","% of Total Age Group Population","60.90002169","% of Total Ethnic Group Population","168486","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","White Irish","ONS 2011 18+1","Male","0.936281154","% of Total Age Group Population","66.45953456","% of Total Ethnic Group Population","169091","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Gypsy or Irish Traveller","ONS 2011 18+1","All","0.098884297","% of Total Age Group Population","62.18619972","% of Total Ethnic Group Population","35869","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Gypsy or Irish Traveller","ONS 2011 18+1","Female","0.100571796","% of Total Age Group Population","62.98308348","% of Total Ethnic Group Population","18318","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Gypsy or Irish Traveller","ONS 2011 18+1","Male","0.097182408","% of Total Age Group Population","61.37571688","% of Total Ethnic Group Population","17551","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other White Background","ONS 2011 18+1","All","5.373594709","% of Total Age Group Population","78.40898943","% of Total Ethnic Group Population","1949202","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other White Background","ONS 2011 18+1","Female","5.635298274","% of Total Age Group Population","78.60028763","% of Total Ethnic Group Population","1026405","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other White Background","ONS 2011 18+1","Male","5.10965953","% of Total Age Group Population","78.19730393","% of Total Ethnic Group Population","922797","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Other","ONS 2011 5+1","All","1.112191263","% of Total Age Group Population","71.56925009","% of Total Ethnic Group Population","403433","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Other","ONS 2011 5+1","Female","0.950940971","% of Total Age Group Population","68.97000733","% of Total Ethnic Group Population","173203","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Other","ONS 2011 5+1","Male","1.274816578","% of Total Age Group Population","73.65757211","% of Total Ethnic Group Population","230230","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Arab","ONS 2011 18+1","All","0.432677035","% of Total Age Group Population","68.06071119","% of Total Ethnic Group Population","156948","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Arab","ONS 2011 18+1","Female","0.338813521","% of Total Age Group Population","63.97773101","% of Total Ethnic Group Population","61711","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Arab","ONS 2011 18+1","Male","0.527340948","% of Total Age Group Population","70.99662301","% of Total Ethnic Group Population","95237","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Ethnic Background","ONS 2011 18+1","All","0.679514228","% of Total Age Group Population","73.99818671","% of Total Ethnic Group Population","246485","36273707"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Ethnic Background","ONS 2011 18+1","Female","0.61212745","% of Total Age Group Population","72.08332525","% of Total Ethnic Group Population","111492","18213854"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Ethnic Background","ONS 2011 18+1","Male","0.74747563","% of Total Age Group Population","75.65811966","% of Total Ethnic Group Population","134993","18059853"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","All","All","All","100","% of Total Age Group Population","18.86573329","% of Total Ethnic Group Population","10579132","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","All","All","Female","100","% of Total Age Group Population","18.10986222","% of Total Ethnic Group Population","5161770","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","All","All","Male","100","% of Total Age Group Population","19.6470755","% of Total Ethnic Group Population","5417362","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Asian","ONS 2011 5+1","All","9.805388571","% of Total Age Group Population","24.61890039","% of Total Ethnic Group Population","1037325","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Asian","ONS 2011 5+1","Female","9.819809871","% of Total Age Group Population","24.21335127","% of Total Ethnic Group Population","506876","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Asian","ONS 2011 5+1","Male","9.791647669","% of Total Age Group Population","25.0193264","% of Total Ethnic Group Population","530449","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Bangladeshi","ONS 2011 18+1","All","1.469837034","% of Total Age Group Population","34.77094193","% of Total Ethnic Group Population","155496","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Bangladeshi","ONS 2011 18+1","Female","1.483928962","% of Total Age Group Population","35.40747931","% of Total Ethnic Group Population","76597","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Bangladeshi","ONS 2011 18+1","Male","1.456409965","% of Total Age Group Population","34.17449571","% of Total Ethnic Group Population","78899","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Chinese","ONS 2011 18+1","All","0.477496642","% of Total Age Group Population","12.84907959","% of Total Ethnic Group Population","50515","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Chinese","ONS 2011 18+1","Female","0.485782978","% of Total Age Group Population","12.10691748","% of Total Ethnic Group Population","25075","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Chinese","ONS 2011 18+1","Male","0.469601256","% of Total Age Group Population","13.6753607","% of Total Ethnic Group Population","25440","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Indian","ONS 2011 18+1","All","2.565815419","% of Total Age Group Population","19.21083288","% of Total Ethnic Group Population","271441","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Indian","ONS 2011 18+1","Female","2.557010483","% of Total Age Group Population","19.04469885","% of Total Ethnic Group Population","131987","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Indian","ONS 2011 18+1","Male","2.574204936","% of Total Age Group Population","19.37076342","% of Total Ethnic Group Population","139454","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Pakistani","ONS 2011 18+1","All","3.500221001","% of Total Age Group Population","32.92924658","% of Total Ethnic Group Population","370293","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Pakistani","ONS 2011 18+1","Female","3.516487561","% of Total Age Group Population","33.10492872","% of Total Ethnic Group Population","181513","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Pakistani","ONS 2011 18+1","Male","3.4847219","% of Total Age Group Population","32.76207666","% of Total Ethnic Group Population","188780","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Asian Background","ONS 2011 18+1","All","1.792018476","% of Total Age Group Population","22.68463122","% of Total Ethnic Group Population","189580","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Asian Background","ONS 2011 18+1","Female","1.776599887","% of Total Age Group Population","21.39632335","% of Total Ethnic Group Population","91704","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Asian Background","ONS 2011 18+1","Male","1.806709613","% of Total Age Group Population","24.04089182","% of Total Ethnic Group Population","97876","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black","ONS 2011 5+1","All","4.809402132","% of Total Age Group Population","27.28273517","% of Total Ethnic Group Population","508793","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black","ONS 2011 5+1","Female","4.872998991","% of Total Age Group Population","26.0200271","% of Total Ethnic Group Population","251533","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black","ONS 2011 5+1","Male","4.748805784","% of Total Age Group Population","28.6417279","% of Total Ethnic Group Population","257260","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black African","ONS 2011 18+1","All","2.819087615","% of Total Age Group Population","30.13607133","% of Total Ethnic Group Population","298235","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black African","ONS 2011 18+1","Female","2.867524124","% of Total Age Group Population","29.03228337","% of Total Ethnic Group Population","148015","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black African","ONS 2011 18+1","Male","2.772936348","% of Total Age Group Population","31.30894395","% of Total Ethnic Group Population","150220","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black Caribbean","ONS 2011 18+1","All","0.979957524","% of Total Age Group Population","17.4288236","% of Total Ethnic Group Population","103671","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black Caribbean","ONS 2011 18+1","Female","0.987296993","% of Total Age Group Population","16.03143245","% of Total Ethnic Group Population","50962","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black Caribbean","ONS 2011 18+1","Male","0.972964332","% of Total Age Group Population","19.03284863","% of Total Ethnic Group Population","52709","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Black Background","ONS 2011 18+1","All","1.010356993","% of Total Age Group Population","38.11444282","% of Total Ethnic Group Population","106887","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Black Background","ONS 2011 18+1","Female","1.018177873","% of Total Age Group Population","37.81741777","% of Total Ethnic Group Population","52556","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Black Background","ONS 2011 18+1","Male","1.002905104","% of Total Age Group Population","38.40623763","% of Total Ethnic Group Population","54331","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed","ONS 2011 5+1","All","5.205852427","% of Total Age Group Population","44.97990853","% of Total Ethnic Group Population","550734","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed","ONS 2011 5+1","Female","5.240741064","% of Total Age Group Population","44.13926676","% of Total Ethnic Group Population","270515","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed","ONS 2011 5+1","Male","5.172609842","% of Total Age Group Population","45.82238407","% of Total Ethnic Group Population","280219","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Asian","ONS 2011 18+1","All","1.525843519","% of Total Age Group Population","47.2368294","% of Total Ethnic Group Population","161421","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Asian","ONS 2011 18+1","Female","1.526646867","% of Total Age Group Population","47.45936245","% of Total Ethnic Group Population","78802","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Asian","ONS 2011 18+1","Male","1.525078073","% of Total Age Group Population","47.02651321","% of Total Ethnic Group Population","82619","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black African","ONS 2011 18+1","All","0.770639784","% of Total Age Group Population","49.12034415","% of Total Ethnic Group Population","81527","10579132"
